2025-12-26 03:14:10 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AAPL...
2025-12-26 03:37:36 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing GOOGL...
2025-12-26 03:37:36 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for GOOGL
2025-12-26 03:37:36 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AMZN...
2025-12-26 03:37:37 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for AMZN
2025-12-26 03:37:37 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing META...
2025-12-26 03:37:37 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for META
2025-12-26 03:37:37 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing NVDA...
2025-12-26 03:37:37 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for NVDA
2025-12-26 03:37:37 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing TSLA...
2025-12-26 03:37:37 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for TSLA
2025-12-26 03:37:37 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AMD...
2025-12-26 03:37:37 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for AMD
2025-12-26 03:37:37 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing INTC...
2025-12-26 03:37:37 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for INTC
2025-12-26 03:37:37 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing CRM...
2025-12-26 03:37:38 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for CRM
2025-12-26 03:37:38 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing JPM...
2025-12-26 03:37:38 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for JPM
2025-12-26 03:37:38 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing BAC...
2025-12-26 03:37:38 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for BAC
2025-12-26 03:37:38 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing WFC...
2025-12-26 03:37:38 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for WFC
2025-12-26 03:37:38 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing GS...
2025-12-26 03:37:38 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for GS
2025-12-26 03:37:38 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MS...
2025-12-26 03:37:39 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for MS
2025-12-26 03:37:39 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing V...
2025-12-26 03:37:39 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for V
2025-12-26 03:37:39 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MA...
2025-12-26 03:37:39 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for MA
2025-12-26 03:37:39 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing JNJ...
2025-12-26 03:37:39 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for JNJ
2025-12-26 03:37:39 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing UNH...
2025-12-26 03:37:40 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for UNH
2025-12-26 03:37:40 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing PFE...
2025-12-26 03:37:40 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for PFE
2025-12-26 03:37:40 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MRK...
2025-12-26 03:37:40 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for MRK
2025-12-26 03:37:40 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing ABBV...
2025-12-26 03:37:40 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for ABBV
2025-12-26 03:37:40 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing WMT...
2025-12-26 03:37:40 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for WMT
2025-12-26 03:37:40 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing PG...
2025-12-26 03:37:41 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for PG
2025-12-26 03:37:41 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing KO...
2025-12-26 03:37:41 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for KO
2025-12-26 03:37:41 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing PEP...
2025-12-26 03:37:41 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for PEP
2025-12-26 03:37:41 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing COST...
2025-12-26 03:37:41 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for COST
2025-12-26 03:37:41 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing NKE...
2025-12-26 03:37:42 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for NKE
2025-12-26 03:37:42 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MCD...
2025-12-26 03:37:42 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for MCD
2025-12-26 03:37:42 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing CAT...
2025-12-26 03:37:42 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for CAT
2025-12-26 03:37:42 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing BA...
2025-12-26 03:37:42 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for BA
2025-12-26 03:37:42 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing HON...
2025-12-26 03:37:43 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for HON
2025-12-26 03:37:43 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing UPS...
2025-12-26 03:37:43 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for UPS
2025-12-26 03:37:43 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing RTX...
2025-12-26 03:37:43 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for RTX
2025-12-26 03:37:43 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing XOM...
2025-12-26 03:37:43 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for XOM
2025-12-26 03:37:43 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing CVX...
2025-12-26 03:37:44 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for CVX
2025-12-26 03:37:44 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing COP...
2025-12-26 03:37:44 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for COP
2025-12-26 03:37:44 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AI.PA...
2025-12-26 03:37:44 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for AI.PA
2025-12-26 03:37:44 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AIR.PA...
2025-12-26 03:37:44 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for AIR.PA
2025-12-26 03:37:44 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing ALO.PA...
2025-12-26 03:37:45 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for ALO.PA
2025-12-26 03:37:45 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MT.PA...
2025-12-26 03:37:45 | WARNING  | strategy.swing_trading    | analyze_symbol       | Insufficient daily data for MT.PA
2025-12-26 03:37:45 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing CS.PA...
2025-12-26 03:37:45 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for CS.PA
2025-12-26 03:37:45 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing BNP.PA...
2025-12-26 03:37:45 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for BNP.PA
2025-12-26 03:37:45 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing EN.PA...
2025-12-26 03:37:45 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for EN.PA
2025-12-26 03:37:45 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing CAP.PA...
2025-12-26 03:37:46 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for CAP.PA
2025-12-26 03:37:46 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing CA.PA...
2025-12-26 03:37:46 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for CA.PA
2025-12-26 03:37:46 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing SGO.PA...
2025-12-26 03:37:46 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for SGO.PA
2025-12-26 03:37:46 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing SAN.PA...
2025-12-26 03:37:46 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for SAN.PA
2025-12-26 03:37:46 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing SU.PA...
2025-12-26 03:37:47 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for SU.PA
2025-12-26 03:37:47 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing GLE.PA...
2025-12-26 03:37:47 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for GLE.PA
2025-12-26 03:37:47 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing STLA.PA...
2025-12-26 03:37:51 | WARNING  | strategy.swing_trading    | analyze_symbol       | Insufficient daily data for STLA.PA
2025-12-26 03:37:51 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing STM.PA...
2025-12-26 03:37:52 | WARNING  | strategy.swing_trading    | analyze_symbol       | Insufficient daily data for STM.PA
2025-12-26 03:37:52 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing TEP.PA...
2025-12-26 03:37:53 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for TEP.PA
2025-12-26 03:37:53 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing HO.PA...
2025-12-26 03:37:53 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for HO.PA
2025-12-26 03:37:53 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing TTE.PA...
2025-12-26 03:37:53 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for TTE.PA
2025-12-26 03:37:53 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing URW.PA...
2025-12-26 03:37:54 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for URW.PA
2025-12-26 03:37:54 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing VIE.PA...
2025-12-26 03:37:54 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for VIE.PA
2025-12-26 03:37:54 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing DG.PA...
2025-12-26 03:37:54 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for DG.PA
2025-12-26 03:37:54 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing VIV.PA...
2025-12-26 03:37:55 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for VIV.PA
2025-12-26 03:37:55 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing WLN.PA...
2025-12-26 03:37:55 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for WLN.PA
2025-12-26 03:37:55 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MC.PA...
2025-12-26 03:37:55 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for MC.PA
2025-12-26 03:37:55 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing OR.PA...
2025-12-26 03:37:55 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for OR.PA
2025-12-26 03:37:55 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing RI.PA...
2025-12-26 03:37:56 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No valid zones for RI.PA
2025-12-26 03:37:56 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing KER.PA...
2025-12-26 03:37:56 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for KER.PA
2025-12-26 03:37:56 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing HMC.PA...
2025-12-26 03:37:56 | WARNING  | strategy.swing_trading    | analyze_symbol       | Insufficient daily data for HMC.PA
2025-12-26 03:37:56 | INFO     | strategy.swing_trading    | scan_watchlist       | Found 0 valid setups out of 65 symbols
